,0
236,빠른배송 감사해요
237,감사합니다
238,빠른 배송에 가격이 좋네요
239,배송빠르고 향도좋고만족
240,어제도착하기로되있는데하루늦게도착했네요
241,별점을 줄수 없음오배송 이라서
242,향긋한향빠른배송감사
243,배송빠르고 가격좋고 향도 좋네요
244,싸고 좋아요
245,배송빠르고 상품싸고 좋아요 
246,빠른배송에 상품도 좋습니다
247,사진 두장 올려요첨건 마트서 산거 두번째껀 쿠팡서 산거 가격도 틀리고 미리수도 향도 다다 짝퉁인듯요실망입니다 빠이네요ㅠㅠ 왜 저렴한지 알겟네요ㅠㅠ
248,물을 탄건가요? 뭔가 옅고 향도 그렇고 뭔가 다른것 같아요
249,너무 묽어서 향기도 넣은 양에 비해 약하고 실망입니다
250,세제들은 무거워서 장보기가힘든데 집앞까지 배송해주니장보기 좋아요가격도 싸고 매우 만족합니다계속주문 해서 쓸겁니다
251,아직사용은 못해봣구요구매평이 좋아서 구매햇는데퇴근후 문밖에있는 제품을박스에서꺼내 거실로 옮겨놧더니두시간후 용기에서 물기가 맺혀있더라구요흔들어보니 사각사각살얼음소리가나네요내용물이 얼어있었나봅니다
252,피죤쓰다가 진짜 냄새도 이상하고기존제품하고 너무 다르고향 지속력도 거의없고이상해서샤프란으로 갈아탔네요음모조품 만들어서 파나봐요ㅜㅜ이건 확실히 향이 같고지속력도 똑같아서 만족요모조품은 확실히 아닌듯해요앞으로계속 구매하렵니다
253,늘 믿고 쓰는 샤프란입니다은은한 잔향으로늘 씁니다
254,항상 다른 핑크색을 사용하다가 바꿨어요향이 오래가고 좋아요 포근한 느낌의 향이에요빨래널어둔 방에도 방향제처럼 향이 나고마른 뒤에도 향이 많이 남아 있어요!
255,지인 집에놀러갔다가 향이좋아서 저도쓰게됐는데지인네집에서는 향이 진하게났는데 저희집에서는세탁기에 표시된 섬유유연제용량으로넣으면거의냄새가않나요ㅠㅠ그래서저는 거의 쏟아붇다싶이넣어요혹시나해서 한번더 주문해서 써봤는데 마찬가지네요향이 진한걸 원하시면 비추드립니다은은하게 향이나길원하시는분은 괜찮으실듯해요전 다시 다우니로가야겠어요ㅠㅠ
256,항상 쓰는 제품이예요 향도 강하지 않공 은은하고 향기로워서 다른 제품을 써보다가도 다시 찾게 되네요 이상하게 질리지 않는 기분 좋은 향이예요 ㅎㅎ
257,마트에서 파는 샤프란 아닌가요?냄새가 너무 약하네요많이 달라요
258,원래 쓰던 제품이라 뭐 특별시 할말없음전 개인적으로 좋아용
259,시어버터라고 명칭하는 샤프란 향 없어요새로 출시한 시어버터 제품 별로입니다 ㅡㅡ요즘 샤프란 향이 없는데 왜 그럴까요?전에는 미모사코튼앤크림 등등 향이 좋았는데건조 후 향이 안남아요 마트판매용하고 다른가요?제품을 바꿔야 하는지 구매 하는곳을 바꿔야하는지고민 중 입니다
260,마트에서 끙끙거리고 사오기 무거운 섬유유연제이렇게 쿠팡에서 시키니 하루만에 오고 아주 간편해요친정엄마에게 늘 시켜드리는 물건입니다엄마가 아주아주 좋아하세요향기도 아로마향이 은은하게 나서오래전부터 써왔던 제품입니다가격을 더 할인해주었으면 좋겠어요
261,향이 많이 풍기지 않고 오래 지속되지 않아요시어버터가 피부에 좋긴 좋나봐요클레오파트라 얘기도 있고가나 오취리가 시어버터때문에자기나라에서 비누 세제를 사가지고 온다네요피부에 좋고 가격도 저렴하고다시 구매할 생각입니다
262,쿠팡을 믿고 다른 유연제보다 저렴해서 샤프란을 계속 써왔는데 많이 넣어도향이 세탁을 해서 널때만 나고 향이 금방 날아가요다른 유연제는 몇칠을 입어도 나더라고요이제는 다른것으로 바꾸어야 할것 같아요싼게 비지떡인가요?짝퉁은 아닌가요?
263,기존 보통 샤프란 보다훨씬 향이 진하다구 해야할까요?조금만 넣어도 향지속력이 오래 유지되네요ㅎㅎ좋은것 같아요ㅎㅎ
264,세탁하려고 보면 없어집근처 마트로 사러가곤했는데대량으로 사두고 쓰면 편한데왜 이제서야ㅎ향도 맘에들고굿
265,샤프란은 처음써보네요원래 이런거 안쓰다가 이제부터 사용해보려고요사용해보니 향으누막 찐하진않지만 은은하니 좋네요마지막 헹굼에 적당량 넣어서 쓴다는데 맞죠?ㅎㅎ잘안써봐서요암튼 이가격에 4개 싸고 좋은거같아요
266,이 향을 알고난뒤부터는 이 향만고집하여 주문하고있습니다정말 어쩜이리 향이좋은지!빨래널고나서 집안에 온통가득 아로마 향기가 정말 냄새로 힐링하기는 처음입니다만!정말 좋아요! 최고입니다
267,몇년째 사용중입니다향기가 좋아요이 향기로 고농축도 나왔음 좋겠어요
268,항상 애용하는 유연제예요 언제 맡아도 질리지 않고 세탁후 잔향도 좋습니다
269,기존에 쓰던게 남아서 아직 써보진 않았는데 새는거없이 배송됐구요 향기는 기존에 마트에서 사서 쓰던거하고같아요 가격이 마트보다싸길래 구매제가 주문할때보다 가격이 인하됐네요 ㅜㅜ
270,어머니께서 한번사용하시고 좋다고하셔서 구매하게되었습니다 ㅎㅎ
271,향이 잘 나는건지 안나는건지?그래도 어느정돈 하겠지 하구 샀는데지속력이 좀 좋지 못한구 같네여약간 망실망실 ㅠ지속력이 좀 많이 뜨르짐!!!!하지만 용량은 좋아용
272,품질 만족요향기도 좋아요그리고 가격도 저렴근데 쓸때 아쉬운건 미세플라스틱이 제품에 있는건아닌가 하는 점이죠가성비 좋음서 미세플라스틱 걱정 안할 수 있음 좋겠어요
273,몇년째 계속 써왔던 제품이었는데 용기는 똑같으나 향이 다르네요다시 시어버터로 이름이 좀 달라져서 그런가요향이 없다시피 해서 재구매 안할거 같아요
274,시중에 여타 섬유유연제가 많지만 저는 이제품만 써요향이 너무 찐하지도 않고 정전기도 없고한번 써 보면 계속 쓰게 될거에요
275,저렴하게 잘 구매했습니다 다우니 한번 써보려했는데 가성비가 너무 차이나고 샤프란도 후기가 좋아서 구매했습니다!
276,이번에 첨으로 구매해서 써봤는데향이 너무 좋아요 그향 아시죠 남자들이향에 반한다는 그 향 한번써보세요 추천 강추
277,향기좋아요기분좋아지는 향기에요!!!!!!마트같은곳에서 시향해보시고 여기서 싸게 잘 사셔요
278,늘 쓰던것다른거 다 써봐도 요게 젤 좋네요향도 은은하고향에 민감한 다른 엄마들도 다 요거 쓰더라구요
279,늘 사용하는 거라 주문했어요 용량 대비 너무 저렴하고시중에 마트에서 사는 것 보다도 저렴해서 좋아요
280,향이좋습니다실내에서 나는 냄새를 이섬유제 냄새로 대체 가능하답니다패브리지 뿌리지 않아도 된답니다
281,생각보다 배송도빠르고 향이 무엇보다도 강력해서 완전 좋아요!!!! 다음에 재구매 의사 있습니다!
282,햐이 생각보다 오래가진 않아요배송은 엄청 빨리 순삭이네요저렴한맛에 구입한건데 좀 아쉬운감이 있어요
283,매번 넘 잘 쓰고있다지요저번엔 친정에도 두박스나 주문해드렸는데 엄마가 너무 잘 쓰고있다고 하네요
284,향은 그렇게 오래 남진 않지만 나름 괜찮아요전항상 보래색만 쓰니까요?? 가격도 저렴하고 좋아요
285,향이 적당히 은은하구요가격도 저렴하게 구매해서 좋아요강한 향을 싫어하시는 분 한테 추천요
286,향은 그냥저냥 쓸만합니다진하지는 않구요 그냥 괜찮네욤 가격도 저렴해서 쟁겨놓고쓰기 딱 좋아요
287,가격도 성능도 다 맘에 들어요적게 사용하는 샤프란이 나왔지만자꾸 많이 붓게 되는 저에게는 안성맞춤
288,괜찮음!다만 용량이 커서 부을 때 힘들어서 다른 용기에다가 담아 놨다 써요용량대비 가격 괜츈
289,가격이 싸구 잘빨리는거같아구입했어요다른제품보다는 때도 잘빠지구냄새두 너무 좋아요
290,특별할건 없지만 싸게 잘산것같아요대용량은 처음사봤는데 향도 원래 쓰던것과 아주 같네요
291,전에꺼보다 많이 넣는데 발향이나 지속력은 생각보다 못하네요그래도 싼가격에 만족합니다
292,향이 좋다고 얘길 들었는데 다른거 보다 좋은듯해요앞전에 쓰던것보다 향이 진하고 오래가요
293,유연제 중에 젤 향이질리지 않고 만족하는 유연제입니다 세탁후 에도 옷에 향기가 너무 좋아요
294,섬유유연제는 샤프란 아로마 릴렉싱만 써서 두말할필요없어요!!향기도 오래남고 굿굿
295,늘 써왔던 제품이에요향이 지나치게 진하지않고 부드러워요가격도 좋구요
296,리필보다싸요! 양도 리필보다 02리터 적은것뿐 이게 향 진짜 좋아여ㅠㅠ
297,릴렉싱 아로마 늘사용하는 제품입니다 앞으로도 쭈욱 재구매할 예정입니다
298,항상 쓰는 제품이예요주변사람이 피죤 어떤거 쓰냐고 물어봐서 알려줬네요
299,계속 재주문 해서 사용하는 제품이에요너무 진하지 않고 은은해서 좋아요
300,항상 쓰는거라 좋은가격에 잘쓰고 있어요이번엔 배송도 엄청 빨랐어요
301,매번쓰고있는제품리뉴얼되고서는처음사보네요만족했으면합니다
302,향이 은은하니 좋은것같습니다항상 믿고 쓰는 제품입니다
303,샤프란만을 쓰나까 그 향기 없어선 세탁 안 된 느낌인데 사니까 좋아요
304,늘 쓰던거라 이번에도재구매넘 좋아요말이 필요없네요
305,아직써보진 않았어요 ㅜ전에 제가 쓰던보라색이 아니더라구요ㅋ
306,전에 보다 안 좋아진 거 같아요 비싸기만 하고 조금 실망이에요
307,제가 써본 유연제중에 젤 향이 좋고 질리지도 않고 가장 좋아요
308,늘 사용하던 거라 넘넘 좋아요적극추천이요!!!
309,페이스북찾아보면인생급 섬유유연제라고 말하고 있습니다
310,늘 사용하던거라푸짐하니 좋아요 굿
311,늘 사용하던 제품입니다 잘 쓸게요 저렴하게 감사감사
312,싸게 잘 샀어용배송도 굿!가격도 굿!향기도 굿!!
313,늘 사용하는 제품입니다향도 좋고 저렴하고 만족해요
314,향은 그렇게 나지않아요 그냥 약간 정도 그래도 괜찮아요
315,배송도 빠르구 늘 사용해오던거라 떨어지기전 구매했음
